File ID,Account,Date From,Date To,Bag Count,Amount Collected,Amount Due,Amount Retained,Create Date,Vendor Name,City,State,Zip code,Location1
95540,005151,10/1/2024,10/30/2024,35,1.75,1.4,0.35,10/30/2024,"David's Bridal, Inc.",,PA,19428,"PA 19428
(40.0797, -75.30055)"
95534,005080,9/26/2024,10/25/2024,615,30.75,24.6,6.15,10/26/2024,ELITE RETAILERS LLC,Silver Spring,MD,20901,"Silver Spring, MD 20901
(39.02585, -77.01502)"
95533,000738,9/25/2024,10/25/2024,2480,124,99.2,24.8,10/25/2024,"cpss, inc t/a 3 star beer and wine",Gaithersburg,MD,20879,"Gaithersburg, MD 20879
(39.16574, -77.18153)"
95378,000057,9/4/2024,10/1/2024,241481,12074.05,9659.24,2414.81,10/17/2024,Harris Teeter,,NC,28105,"NC 28105
(35.11822, -80.72025)"
95135,003763,9/2/2024,9/29/2024,5816,290.8,232.64,58.16,10/2/2024,PICCA CHICKEN INC,Germantown,MD,20874,"Germantown, MD 20874
(39.18272, -77.27048)"
95134,003590,9/2/2024,9/29/2024,8256,412.8,330.24,82.56,10/2/2024,"Sardis Chicken II, Inc.",Gaithersburg,MD,20877,"Gaithersburg, MD 20877
(39.14033, -77.19373)"
95160,003770,9/2/2024,9/30/2024,1550,77.5,62,15.5,10/5/2024,KIMO LLC,Gaithersburg,MD,20877,"Gaithersburg, MD 20877
(39.14033, -77.19373)"
95157,000084,9/2/2024,9/29/2024,19308,965.4,772.32,193.08,10/4/2024,"The Fresh Market, Inc.",,NC,27401,"NC 27401
(36.06908, -79.79505)"
95133,003918,9/2/2024,9/29/2024,5330,266.5,213.2,53.3,10/2/2024,"Sardis Chicken VI, Inc",Takoma Park,MD,20912,"Takoma Park, MD 20912
(38.98126, -77.00988)"
95136,003919,9/2/2024,9/29/2024,2931,146.55,117.24,29.31,10/2/2024,"Sardis Fusion, Inc",Olney,MD,20832,"Olney, MD 20832
(39.15052, -77.06888)"
95080,000534,9/1/2024,9/24/2024,739,36.95,29.56,7.39,9/24/2024,Patchara Inc.,Rockville,MD,20850,"Rockville, MD 20850
(39.0960292, -77.1752479)"
95313,005200,9/1/2024,9/30/2024,218,10.9,8.72,2.18,10/15/2024,ECCO RETAIL LLC,,NH,03079,"NH 03079
(42.78474, -71.21039)"
95449,001084,9/1/2024,9/30/2024,187,9.35,7.48,1.87,10/20/2024,Airpark Petro LLC,Gaithersburg,MD,20879,"Gaithersburg, MD 20879
(39.16574, -77.18153)"
95498,004990,9/1/2024,9/28/2024,956,47.8,38.24,9.56,10/22/2024,Alex Baby & Toys #110,Bethesda,MD,20817,"Bethesda, MD 20817
(38.98443, -77.1209)"
