File ID,Account,Date From,Date To,Bag Count,Amount Collected,Amount Due,Amount Retained,Create Date,Vendor Name,City,State,Zip code,Location1
95540,5151,2024-10-01,2024-10-30,35,1.75,1.4,0.35,2024-10-30,"David's Bridal, Inc.",,PA,19428,"PA 19428
(40.0797, -75.30055)"
95534,5080,2024-09-26,2024-10-25,615,30.75,24.6,6.15,2024-10-26,ELITE RETAILERS LLC,Silver Spring,MD,20901,"Silver Spring, MD 20901
(39.02585, -77.01502)"
95533,738,2024-09-25,2024-10-25,2480,124.0,99.2,24.8,2024-10-25,"cpss, inc t/a 3 star beer and wine",Gaithersburg,MD,20879,"Gaithersburg, MD 20879
(39.16574, -77.18153)"
95378,57,2024-09-04,2024-10-01,241481,12074.05,9659.24,2414.81,2024-10-17,Harris Teeter,,NC,28105,"NC 28105
(35.11822, -80.72025)"
95135,3763,2024-09-02,2024-09-29,5816,290.8,232.64,58.16,2024-10-02,PICCA CHICKEN INC,Germantown,MD,20874,"Germantown, MD 20874
(39.18272, -77.27048)"
95134,3590,2024-09-02,2024-09-29,8256,412.8,330.24,82.56,2024-10-02,"Sardis Chicken II, Inc.",Gaithersburg,MD,20877,"Gaithersburg, MD 20877
(39.14033, -77.19373)"
95160,3770,2024-09-02,2024-09-30,1550,77.5,62.0,15.5,2024-10-05,KIMO LLC,Gaithersburg,MD,20877,"Gaithersburg, MD 20877
(39.14033, -77.19373)"
95157,84,2024-09-02,2024-09-29,19308,965.4,772.32,193.08,2024-10-04,"The Fresh Market, Inc.",,NC,27401,"NC 27401
(36.06908, -79.79505)"
95133,3918,2024-09-02,2024-09-29,5330,266.5,213.2,53.3,2024-10-02,"Sardis Chicken VI, Inc",Takoma Park,MD,20912,"Takoma Park, MD 20912
(38.98126, -77.00988)"
95136,3919,2024-09-02,2024-09-29,2931,146.55,117.24,29.31,2024-10-02,"Sardis Fusion, Inc",Olney,MD,20832,"Olney, MD 20832
(39.15052, -77.06888)"
95080,534,2024-09-01,2024-09-24,739,36.95,29.56,7.39,2024-09-24,Patchara Inc.,Rockville,MD,20850,"Rockville, MD 20850
(39.0960292, -77.1752479)"
95313,5200,2024-09-01,2024-09-30,218,10.9,8.72,2.18,2024-10-15,ECCO RETAIL LLC,,NH,3079,"NH 03079
(42.78474, -71.21039)"
95449,1084,2024-09-01,2024-09-30,187,9.35,7.48,1.87,2024-10-20,Airpark Petro LLC,Gaithersburg,MD,20879,"Gaithersburg, MD 20879
(39.16574, -77.18153)"
95498,4990,2024-09-01,2024-09-28,956,47.8,38.24,9.56,2024-10-22,Alex Baby & Toys #110,Bethesda,MD,20817,"Bethesda, MD 20817
(38.98443, -77.1209)"
95137,761,2024-09-01,2024-09-30,3327,166.35,133.08,33.27,2024-10-02,johnny & prum Inc.,Silver Spring,MD,20902,"Silver Spring, MD 20902
(39.04516, -77.05324)"
95207,1278,2024-09-01,2024-09-30,131,6.55,5.24,1.31,2024-10-09,New York Deli Inc,Rockville,MD,20850,"Rockville, MD 20850
(39.08196, -77.15118)"
95145,5151,2024-09-01,2024-09-30,28,1.4,1.12,0.28,2024-10-03,"David's Bridal, Inc.",,PA,19428,"PA 19428
(40.0797, -75.30055)"
95223,255,2024-09-01,2024-09-30,229,11.45,9.16,2.29,2024-10-10,Luvandy Nara Inc,Gaithersburg,MD,20879,"Gaithersburg, MD 20879
(39.16574, -77.18153)"
95451,890,2024-09-01,2024-09-30,115,5.75,4.6,1.15,2024-10-20,shady grove petro,Gaithersburg,MD,20877,"Gaithersburg, MD 20877
(39.14033, -77.19373)"
95187,3946,2024-09-01,2024-09-30,2746,137.3,109.84,27.46,2024-10-08,"Don Pollo of Silver Spring, Inc",Silver Spring,MD,20910,"Silver Spring, MD 20910
(38.99693, -77.02914)"
95268,1494,2024-09-01,2024-10-05,33756,1687.8,1350.24,337.56,2024-10-14,BURLINGTON COAT FACTORY WAREHOUSE CORP,,NJ,8016,"NJ 08016
(40.07704, -74.85782)"
95503,1233,2024-09-01,2024-09-30,902,45.1,36.08,9.02,2024-10-22,YALT LLC,Rockville,MD,20853,"Rockville, MD 20853
(39.07048, -77.09324)"
95396,3619,2024-09-01,2024-09-30,46,2.3,1.84,0.46,2024-10-17,"Ach Trade, LLC",Silver Spring,MD,20902,"Silver Spring, MD 20902
(39.04516, -77.05324)"
95489,3939,2024-09-01,2024-10-05,2032,101.6,81.28,20.32,2024-10-21,"F21 OpCo, LLC",,CA,90031,"CA 90031
(34.09198, -118.20101)"
95334,1220,2024-09-01,2024-09-30,4564,228.2,182.56,45.64,2024-10-16,"Fish Taco, Inc",Cabin John,MD,20818,"Cabin John, MD 20818
(38.97469, -77.16263)"
95501,687,2024-09-01,2024-09-30,243826,12191.3,9753.04,2438.26,2024-10-22,Cellco Partnership,,MO,63166,"MO 63166
(38.62909, -90.20577)"
95250,316,2024-09-01,2024-09-30,1431,71.55,57.24,14.31,2024-10-11,"Bethesda Community Food Store, Inc.",Cabin John,MD,20818,"Cabin John, MD 20818
(38.97469, -77.16263)"
95483,1136,2024-09-01,2024-09-30,490,24.5,19.6,4.9,2024-10-21,Milano's,Germantown,MD,20874,"Germantown, MD 20874
(39.18272, -77.27048)"
95468,3768,2024-09-01,2024-09-30,1832,91.6,73.28,18.32,2024-10-21,KRISTOPHERS PIZZA LLC,Poolesville,MD,20837,"Poolesville, MD 20837
(39.14608, -77.41675)"
95140,1440,2024-09-01,2024-09-30,3046,152.3,121.84,30.46,2024-10-03,corner market & pharmacy inc,Silver Spring,MD,20910,"Silver Spring, MD 20910
(38.99693, -77.02914)"
95155,925,2024-09-01,2024-09-30,468,23.4,18.72,4.68,2024-10-04,Cork 57 Inc.,Bethesda,MD,20814,"Bethesda, MD 20814
(38.992455, -77.099577)"
95297,3962,2024-09-01,2024-09-30,626,31.3,25.04,6.26,2024-10-15,Perf Opco LLC,Silver Spring,MD,20902,"Silver Spring, MD 20902
(39.04516, -77.05324)"
95263,3648,2024-09-01,2024-09-30,52,2.6,2.08,0.52,2024-10-13,Poke Dojo LLC,Bethesda,MD,20814,"Bethesda, MD 20814
(38.992455, -77.099577)"
95249,1508,2024-09-01,2024-09-30,48,2.4,1.92,0.48,2024-10-11,"Oak Shop, LLC",Kensington,MD,20895,"Kensington, MD 20895
(39.02627, -77.07507)"
95349,202,2024-09-01,2024-09-30,795,39.75,31.8,7.95,2024-10-16,Jill Acquisition LLC,,MA,2169,"MA 02169
(42.2523, -71.00417)"
95469,456,2024-09-01,2024-09-30,65,3.25,2.6,0.65,2024-10-21,Jen's Corporation,Rockville,MD,20850,"Rockville, MD 20850
(39.08196, -77.15118)"
95406,3865,2024-09-01,2024-09-30,19700,985.0,788.0,197.0,2024-10-17,MEXICAN RESTAURANT INC,,TX,75061,"TX 75061
(32.82163, -97.00246)"
95275,3616,2024-09-01,2024-09-30,1625,81.25,65.0,16.25,2024-10-14,Spring Garden Restaurant Inc,Silver Spring,MD,20910,"Silver Spring, MD 20910
(38.99693, -77.02914)"
95120,3841,2024-09-01,2024-09-30,985,49.25,39.4,9.85,2024-10-01,KAWA ENTERPRISE INC,Gaithersburg,MD,20877,"Gaithersburg, MD 20877
(39.14033, -77.19373)"
95464,5154,2024-09-01,2024-09-30,6035,301.75,241.4,60.35,2024-10-21,JKL WHEATON LLC,Silver Spring,MD,20902,"Silver Spring, MD 20902
(39.04516, -77.05324)"
95494,3853,2024-09-01,2024-09-30,437,21.85,17.48,4.37,2024-10-21,Mabel LLC,Silver Spring,MD,20910,"Silver Spring, MD 20910
(38.99693, -77.02914)"
95351,3562,2024-09-01,2024-09-30,191,9.55,7.64,1.91,2024-10-16,Holy Chow LLC,Silver Spring,MD,20902,"Silver Spring, MD 20902
(39.04516, -77.05324)"
95402,312,2024-09-01,2024-09-30,1650,82.5,66.0,16.5,2024-10-17,Strosniniders Hardware,Bethesda,MD,20814,"Bethesda, MD 20814
(38.992455, -77.099577)"
95164,1392,2024-09-01,2024-09-30,2468,123.4,98.72,24.68,2024-10-07,The Talbots Inc,,MA,2043,"MA 02043
(42.22924, -70.88607)"
95424,3556,2024-09-01,2024-09-30,540,27.0,21.6,5.4,2024-10-18,Strosniders Kensington Hardware,Kensington,MD,20895,"Kensington, MD 20895
(39.02627, -77.07507)"
95526,4989,2024-09-01,2024-09-30,1607,80.35,64.28,16.07,2024-10-25,"HFD No 55, Inc",,NY,10281,"NY 10281
(40.71446, -74.01556)"
95264,5180,2024-09-01,2024-09-30,1376,68.8,55.04,13.76,2024-10-14,BOB S SHANGHAI 66 INC.,Rockville,MD,20850,"Rockville, MD 20850
(39.08196, -77.15118)"
95466,1306,2024-09-01,2024-09-30,412,20.6,16.48,4.12,2024-10-21,EL ANDARIEGO,Ashton,MD,20861,"Ashton, MD 20861
(39.15361, -77.00365)"
95212,1264,2024-09-01,2024-09-30,780,39.0,31.2,7.8,2024-10-10,FAMILY SHOES INC,Takoma Park,MD,20912,"Takoma Park, MD 20912
(38.98126, -77.00988)"
95280,844,2024-09-01,2024-09-30,0,0.0,0.0,0.0,2024-10-14,Apotho Drug,Kensington,MD,20895,"Kensington, MD 20895
(39.02627, -77.07507)"
95221,1387,2024-09-01,2024-09-30,154,7.7,6.16,1.54,2024-10-10,RRK LLC,Gaithersburg,MD,20877,"Gaithersburg, MD 20877
(39.14033, -77.19373)"
95299,4994,2024-09-01,2024-09-30,71,3.55,2.84,0.71,2024-10-15,Nilkanth LLC,Gaithersburg,MD,20879,"Gaithersburg, MD 20879
(39.16574, -77.18153)"
95352,253,2024-09-01,2024-09-30,62424,3121.2,2496.96,624.24,2024-10-16,PANDA EXPRESS,,CA,91770,"CA 91770
(34.08075, -118.07562)"
95230,660,2024-09-01,2024-09-30,1220,61.0,48.8,12.2,2024-10-10,"ABI II, INC.",Gaithersburg,MD,20879,"Gaithersburg, MD 20879
(39.16574, -77.18153)"
95128,293,2024-09-01,2024-09-30,1850,92.5,74.0,18.5,2024-10-02,SYPHANY LLC,Silver Spring,MD,20906,"Silver Spring, MD 20906
(39.06791, -77.06835)"
95222,5110,2024-09-01,2024-09-30,1615,80.75,64.6,16.15,2024-10-10,"Oriental Cafe, Inc.",Rockville,MD,20850,"Rockville, MD 20850
(39.08196, -77.15118)"
95118,3607,2024-09-01,2024-09-30,616,30.8,24.64,6.16,2024-10-01,"EL REY DELI MARKET, LLC",Germantown,MD,20874,"Germantown, MD 20874
(39.18272, -77.27048)"
95373,1041,2024-09-01,2024-09-30,623,31.15,24.92,6.23,2024-10-17,MICKY'S RESTAURANT,Gaithersburg,MD,20877,"Gaithersburg, MD 20877
(39.14033, -77.19373)"
95283,5157,2024-09-01,2024-09-30,227,11.35,9.08,2.27,2024-10-14,Bento Express MD Inc,Silver Spring,MD,20901,"Silver Spring, MD 20901
(39.02585, -77.01502)"
95177,155,2024-09-01,2024-09-30,24220,1211.0,968.8,242.2,2024-10-08,"HomeGoods, Inc",,MA,1701,"MA 01701
(42.30394, -71.40754)"
95461,419,2024-09-01,2024-09-30,3840,192.0,153.6,38.4,2024-10-21,FLAMAS,Silver Spring,MD,20910,"Silver Spring, MD 20910
(38.99693, -77.02914)"
95376,486,2024-09-01,2024-09-30,2184,109.2,87.36,21.84,2024-10-17,11-Jul,Montgomery Village,MD,20886,"Montgomery Village, MD 20886
(39.17043, -77.20826)"
95255,596,2024-09-01,2024-09-30,1575,78.75,63.0,15.75,2024-10-12,"LONG BRANCH BEER AND WINE, INC.",Silver Spring,MD,20901,"Silver Spring, MD 20901
(39.02585, -77.01502)"
95405,3975,2024-09-01,2024-09-30,3703,185.15,148.12,37.03,2024-10-17,PREMIUM BRANDS OPCO LLC,,MN,55816,"MN 55816
(46.75953, -92.13244)"
95199,694,2024-09-01,2024-09-30,173,8.65,6.92,1.73,2024-10-09,Starbucks Corporation,,WA,98134,"WA 98134
(47.58616, -122.32741)"
95384,242,2024-09-01,2024-09-30,47241,2362.05,1889.64,472.41,2024-10-17,Ross Dress For Less Inc,,CA,94568,"CA 94568
(37.70423, -121.91635)"
95368,3854,2024-09-01,2024-09-30,368,18.4,14.72,3.68,2024-10-17,LA MEXICANA INC,Gaithersburg,MD,20877,"Gaithersburg, MD 20877
(39.14033, -77.19373)"
95227,3548,2024-09-01,2024-09-30,19510,975.5,780.4,195.1,2024-10-10,"Welcome California Market, Inc",,CA,94587,"CA 94587
(37.58883, -122.02751)"
95231,662,2024-09-01,2024-09-30,369,18.45,14.76,3.69,2024-10-10,ABI III CORPORATION,Gaithersburg,MD,20877,"Gaithersburg, MD 20877
(39.14033, -77.19373)"
95416,3652,2024-09-01,2024-09-30,424,21.2,16.96,4.24,2024-10-18,Lands End Inc,Rockville,MD,20852,"Rockville, MD 20852
(39.05652, -77.11419)"
95259,845,2024-09-01,2024-09-30,402,20.1,16.08,4.02,2024-10-13,Drug Depot,Chevy Chase,MD,20815,"Chevy Chase, MD 20815
(38.98249, -77.08722)"
